"firstName","lastName","birthCountry","orgName","orgCountry"
"Léon","Bourgeois","France","nan","nan"
"Léon","Jouhaux","France","nan","nan"
"Moungi","Bawendi","France","Massachusetts Institute of Technology (MIT)","USA"
"Moungi","Bawendi","France","Massachusetts Institute of Technology (MIT)","United States"
"Patrick","Modiano","France","nan","nan"
"Seán","MacBride","France","nan","nan"
"Sully","Prudhomme","France","nan","nan"
"Charles","Nicolle","France","Institut Pasteur","Tunisia"
"Alexis","Carrel","France","Rockefeller Institute for Medical Research","USA"
"Alexis","Carrel","France","Rockefeller Institute for Medical Research","United States"
"Günter","Grass","Free City of Danzig (now Poland)","nan","nan"
"Claude","Cohen-Tannoudji","French Algeria (now Algeria)","Collège de France","France"
"Albert","Camus","French Algeria (now Algeria)","nan","nan"
"Pierre","Agostini","French protectorate of Tunisia (now Tunisia)","The Ohio State University","USA"
"Pierre","Agostini","French protectorate of Tunisia (now Tunisia)","The Ohio State University","United States"
"Klaus","von Klitzing","German-occupied Poland (now Poland)","Max-Planck-Institut für Festkörperforschung","Germany"
"Hans","von Euler-Chelpin","Germany","Stockholm University","Sweden"
"Jack","Steinberger","Germany","CERN","Switzerland"
"Ernst B.","Chain","Germany","University of Oxford","United Kingdom"
"Gustav","Stresemann","Germany","nan","nan"
"John C.","Polanyi","Germany","University of Toronto","Canada"
"Max","Delbrück","Germany","California Institute of Technology (Caltech)","USA"
"Max","Delbrück","Germany","California Institute of Technology (Caltech)","United States"
"Nelly","Sachs","Germany","nan","nan"
"Rainer","Weiss","Germany","LIGO/VIRGO Collaboration","nan"
"Polykarp","Kusch","Germany","Columbia University","USA"
"Polykarp","Kusch","Germany","Columbia University","United States"
"Ludwig","Quidde","Germany","nan","nan"
"Hermann","Hesse","Germany","nan","nan"
"Heinrich","Böll","Germany","nan","nan"
"Henry","Kissinger","Germany","nan","nan"
"Otto","Loewi","Germany","Graz University","Austria"
"Robert J.","Aumann","Germany","University of Jerusalem Center for RationalityHebrew","Israel"
"Thomas C.","Südhof","Germany","Stanford University","USA"
"Thomas C.","Südhof","Germany","Stanford University","United States"
"Carl","von Ossietzky","Germany","nan","nan"
"Gerhard","Herzberg","Germany","National Research Council of Canada","Canada"
"Hans","Krebs","Germany","Sheffield University","United Kingdom"
"John","Goodenough","Germany","University of Texas","USA"
"John","Goodenough","Germany","University of Texas","United States"
"Thomas","Mann","Germany","nan","nan"
"Willy","Brandt","Germany","nan","nan"
"Sir Bernard","Katz","Germany","University College","United Kingdom"
"Arno","Penzias","Germany","Bell Laboratories","USA"
"Arno","Penzias","Germany","Bell Laboratories","United States"
"Georges J.F.","Köhler","Germany","Basel Institute for Immunology","Switzerland"
"Joachim","Frank","Germany","Columbia University","USA"
"Joachim","Frank","Germany","Columbia University","United States"
"Herbert","Kroemer","Germany","University of California","USA"
"Herbert","Kroemer","Germany","University of California","United States"
"Johann","Deisenhofer","Germany","University of Texas Southwestern Medical Center at Dallas","USA"
"Johann","Deisenhofer","Germany","University of Texas Southwestern Medical Center at Dallas","United States"
"Alfred","Kastler","Germany (now France)","École Normale Supérieure","France"
"Albert","Schweitzer","Germany (now France)","nan","nan"
"Hans","Bethe","Germany (now France)","Cornell University","USA"
"Hans","Bethe","Germany (now France)","Cornell University","United States"
"Max","Born","Germany (now Poland)","Edinburgh University","United Kingdom"
"Reinhard","Selten","Germany (now Poland)","Rheinische Friedrich-Wilhelms-Universität","Germany"
"Friedrich","Bergius","Germany (now Poland)","University of Heidelberg","Germany"
"Maria","Goeppert Mayer","Germany (now Poland)","University of California","USA"
"Maria","Goeppert Mayer","Germany (now Poland)","University of California","United States"
"Gerhard","Domagk","Germany (now Poland)","Munster University","Germany"
"Konrad","Bloch","Germany (now Poland)","Harvard University","USA"
"Konrad","Bloch","Germany (now Poland)","Harvard University","United States"
"Otto","Stern","Germany (now Poland)","Carnegie Institute of Technology","USA"
"Otto","Stern","Germany (now Poland)","Carnegie Institute of Technology","United States"
"Günter","Blobel","Germany (now Poland)","Rockefeller University","USA"
"Günter","Blobel","Germany (now Poland)","Rockefeller University","United States"
"Fritz","Lipmann","Germany (now Russia)","Harvard Medical School","USA"
"Fritz","Lipmann","Germany (now Russia)","Harvard Medical School","United States"
"Otto","Wallach","Germany (now Russia)","Goettingen University","Germany"
"Kofi","Annan","Gold Coast (now Ghana)","nan","nan"
"Saint-John","Perse","Guadeloupe France","nan","nan"
"Rigoberta","Menchú Tum","Guatemala","nan","nan"
"Miguel Angel","Asturias","Guatemala","nan","nan"
"Ferdinand","Braun","Hesse-Kassel (now Germany)","Strasbourg University","Germany (now France)"
"Dennis","Gabor","Hungary","Imperial College","United Kingdom"
"Georg","von Békésy","Hungary","Harvard University","USA"
"Georg","von Békésy","Hungary","Harvard University","United States"
"George A.","Olah","Hungary","University of Southern California","USA"
"George A.","Olah","Hungary","University of Southern California","United States"
"Imre","Kertész","Hungary","nan","nan"
"John C.","Harsanyi","Hungary","University of California","USA"
"John C.","Harsanyi","Hungary","University of California","United States"
"Avram","Hershko","Hungary","Technion - Israel Institute of Technology","Israel"
"Ferenc","Krausz","Hungary","Max Planck Institute of Quantum Optics","Germany"
"Philipp","Lenard","Hungary (now Slovakia)","Kiel University","Germany"
"Halldór","Laxness","Iceland","nan","nan"
"Ronald","Ross","India","University College","United Kingdom"
"Rabindranath","Tagore","India","nan","nan"
"Venkatraman","Ramakrishnan","India","MRC Laboratory of Molecular Biology","United Kingdom"
"Abhijit","Banerjee","India","Massachusetts Institute of Technology (MIT)","USA"
"Abhijit","Banerjee","India","Massachusetts Institute of Technology (MIT)","United States"
"H. Gobind","Khorana","India","University of Wisconsin","USA"
"H. Gobind","Khorana","India","University of Wisconsin","United States"
"Amartya","Sen","India","Trinity College","Ireland"
"Amartya","Sen","India","Trinity College","United Kingdom"
"Kailash","Satyarthi","India","nan","nan"
"Abdus","Salam","India (now Pakistan)","International Centre for Theoretical Physics","Italy"
"Subrahmanyan","Chandrasekhar","India (now Pakistan)","University of Chicago","USA"
"Subrahmanyan","Chandrasekhar","India (now Pakistan)","University of Chicago","United States"
"Shirin","Ebadi","Iran","nan","nan"
"Narges","Mohammadi","Iran","nan","nan"
"Nadia","Murad","Iraq","nan","nan"
"George Bernard","Shaw","Ireland","nan","nan"
"Samuel","Beckett","Ireland","nan","nan"
"William Butler","Yeats","Ireland","nan","nan"
"Ernest T.S.","Walton","Ireland","Trinity College","United Kingdom"
"William C.","Campbell","Ireland","Drew University","USA"
"William C.","Campbell","Ireland","Drew University","United States"
"Luigi","Pirandello","Italy","nan","nan"
"Guglielmo","Marconi","Italy","Marconi Wireless Telegraph Co. Ltd.","United Kingdom"
"Renato","Dulbecco","Italy","Imperial Cancer Research Fund Laboratory","United Kingdom"
"Eugenio","Montale","Italy","nan","nan"
"Riccardo","Giacconi","Italy","Associated Universities Inc.","USA"
"Riccardo","Giacconi","Italy","Associated Universities Inc.","United States"
"Carlo","Rubbia","Italy","CERN","Switzerland"
"Dario","Fo","Italy","nan","nan"
"Salvatore","Quasimodo","Italy","nan","nan"
"Grazia","Deledda","Italy","nan","nan"
